DisNo.,Historic,Classification Key,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,External IDs,Event Name,ISO,Country,Subregion,Region,Location,Origin,Associated Types,OFDA/BHA Response,Appeal,Declaration,AID Contribution ('000 US$),Magnitude,Magnitude Scale,Latitude,Longitude,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No. Injured,No. Affected,No. Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damage ('000 US$),"Insured Damage, Adjusted ('000 US$)",Total Damage ('000 US$),"Total Damage, Adjusted ('000 US$)",CPI,Admin Units,Entry Date,Last Update
2023-0875-LSO,No,nat-met-sto-sur,Natural,Meteorological,Storm,Storm surge,,,LSO,Lesotho,Sub-Saharan Africa,Africa,"Berea, Leribe, Maseru, Mokhotlong, Quthing, Thaba Tseka",,Flood,No,No,No,,,Kph,,,,2023,12,22,2023,12,28,2,,968,,968,,,,,,,100,,2024-02-13,2024-02-13
2023-0876-SOM,No,nat-bio-epi-bac,Natural,Biological,Epidemic,Bacterial disease,,Cholera,SOM,Somalia,Sub-Saharan Africa,Africa,"Hirshabelle State; Awdal, Woqooyi Galbeed (Somaliland)",,,No,No,No,,,,,,,2023,12,6,2024,2,5,60,4956,,,4956,,,,,,,100,,2024-01-23,2024-03-27
2023-0877-MDV,No,nat-bio-epi-par,Natural,Biological,Epidemic,Parasitic disease,GLIDE:OT-2023-000255,Lymphatic Filariasis,MDV,Maldives,Southern Asia,Asia,"South Province, Upper South Province, South Central Province, Central Province, North Central Province, North Province, Upper North Province",,,No,No,No,,,Vaccinated,,,,2023,12,,2023,12,,,455,,,455,,,,,,,100,,2024-07-18,2024-07-18
2023-9167-HND,No,nat-cli-dro-dro,Natural,Climatological,Drought,Drought,,,HND,Honduras,Latin America and the Caribbean,Americas,"Choculeta, Sabanagrande, Tegulcipalga, Jacaleapa, Lepaguare, Catacamas, Yoro, Flores, La Lima, Sana Rosa de Copan, Ocotepeque, La Esperanza",El Nino,,No,No,No,,,Km2,,,,2023,1,,2023,7,,,,10300,,10300,,,,,,,100,"[{""adm1_code"":1420,""adm1_name"":""Atlantida""},{""adm1_code"":1421,""adm1_name"":""Choluteca""},{""adm1_code"":1433,""adm1_name"":""Ocotepeque""},{""adm1_code"":1438,""adm1_name"":""Yoro""},{""adm2_code"":17287,""adm2_name"":""La Lima""},{""adm2_code"":17313,""adm2_name"":""Sabanagrande""},{""adm2_code"":17335,""adm2_name"":""La Esperanza""},{""adm2_code"":17413,""adm2_name"":""Catacamas""},{""adm2_code"":17439,""adm2_name"":""Jacaleapa""}]",2023-03-23,2023-09-26
2023-9234-ESP,No,nat-cli-dro-dro,Natural,Climatological,Drought,Drought,,,ESP,Spain,Southern Europe,Europe,"Catalognia, Andalusia, Asturias",,Heat wave|Water shortage|Wildfire,No,No,Yes,,,Km2,,,,2023,1,,2024,2,,,,26000,,26000,,,300000,300000,2400000,2400000,100,"[{""adm1_code"":2716,""adm1_name"":""Andalucía""},{""adm1_code"":2718,""adm1_name"":""Principado de Asturias""},{""adm1_code"":2724,""adm1_name"":""Cataluña/Catalunya""}]",2023-04-19,2024-02-09
2023-9234-ITA,No,nat-cli-dro-dro,Natural,Climatological,Drought,Drought,,,ITA,Italy,Southern Europe,Europe,"Sicile, Sardaigne",,Fire|Pollution,No,No,Yes,,,Km2,,,,2023,,,2024,,,,,,,,,,,,,,100,,2024-02-26,2024-03-12
2023-9390-LSO,No,nat-cli-dro-dro,Natural,Climatological,Drought,Drought,GLIDE:DR-2024-000071,,LSO,Lesotho,Sub-Saharan Africa,Africa,"Maseru, Mohale's Hoek, Qacha's Nek, Quthing",El Nino,Food shortage|Water shortage,No,No,Yes,,,Km2,,,,2023,12,,2024,7,,,,581730,,581730,,,,,,,100,,2024-06-17,2024-08-12
2023-9494-IDN,No,nat-cli-dro-dro,Natural,Climatological,Drought,Drought,GLIDE:DR-2023-000154,,IDN,Indonesia,South-eastern Asia,Asia,"Nangroe Aceh Darussalam, Sumatera Utara, Sumatera Barat, Riau, Jambi, Sumatera Selatan, Bengkulu, Lampung, Bangka Belitung, Kepulauan-riau, Dki Jakarta, Jawa Barat, Jawa Tengah, Daerah Istimewa Yogyakarta, Jawa Timur, Banten, Bali, Nusatenggara Barat, Nusatenggara Timur, Kalimantan Barat, Kalimantan Tengah, Kalimantan Selatan, Kalimantan Timur, Sulawesi Utara, Sulawesi Tengah, Sulawesi Selatan, Sulawesi Tenggara, Gorontalo, Sulawesi Barat, Maluku, Maluku Utara, Papua, Papua Barat",El Nino,,No,No,No,,,Km2,,,,2023,6,,2023,12,,,,18750000,,18750000,,,,,,,100,"[{""adm1_code"":73617,""adm1_name"":""Papua""}]",2023-08-02,2024-03-27
2023-9589-URY,No,nat-cli-dro-dro,Natural,Climatological,Drought,Drought,GLIDE:DR-2023-000010,,URY,Uruguay,Latin America and the Caribbean,Americas,"Cerro Largo, Florida, Lavalleja, San Jose, Tacuarembo","La nina, lack of rainfall since September 2022",,No,No,Yes,,3623,Km2,,,,2023,1,,2023,11,,,,409115,,409115,,,,,,,100,,2023-09-05,2023-12-08
2023-9651-BRA,No,nat-cli-dro-dro,Natural,Climatological,Drought,Drought,,,BRA,Brazil,Latin America and the Caribbean,Americas,Amazonas state,,,No,No,Yes,,,Km2,,,,2023,3,1,2023,12,31,,,608000,,608000,,,,,2500000,2500000,100,,2023-10-11,2024-01-26
